url,title,department
http://static.sse.com.cn/stock/information/c/202004/3092a194c91a4891b1ceb7469d58df6e.pdf,8-2 申报会计师关于第二轮审核问询函的回复,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/1d88293f0a5549ba9741d41ab4d2b4e0.pdf,8-1-3 发行人与保荐机构关于第三轮审核问询函的回复（2019年年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/59437018054f4d64b90ebf8c8b02d0cf.pdf,8-1-4 发行人及保荐机构关于审核中心意见落实函的回复（2019年年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/df9e37599eed4731ac7e1cf6db0a49b3.pdf,8-1 发行人及保荐机构关于青岛高测科技股份有限公司首次公开发行股票并在科创板上市申请文件的审核问询函的回复,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202002/63eda71da5234f759fe24e81f4323c71.pdf,8-1-2 发行人及保荐机构回复意见（二）（2019年三季报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202002/4dc3b4c9757b4a4fbfee740fcdafe56e.pdf,8-2-1 申报会计师回复（2019年年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202002/972b94bd550748f9aa58ea65bd7537e4.pdf,8-4-8 发行人及保荐机构关于天合光能股份有限公司首次公开发行股票并在科创板上市的上市委问询问题的回复（2019年三季报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202001/ebd9ca6c3dcc49d09d43e511feb35532.pdf,8-1 关于埃夫特智能装备股份有限公司首次公开发行股票并在科创板上市申请文件第四轮审核问询函的回复,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/201911/cf2ba8dbf8be4643a2c3473be5b49da7.pdf,8-2 会计师首轮审核问询函回复意见（审核中心意见落实函更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/3efc742c5ad34383902a4d7097df0a48.pdf,8-3 补充法律意见书（四）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/7a3a1d60d030465a86408ce73347c7f6.pdf,8-1-3 发行人及保荐机构的第三轮审核问询函回复（2019年年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202002/7db195c5ef6a47b1927d20f151e42426.pdf,8-1-2  发行人及保荐机构关于第二轮审核问询函的回复（2019年度财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202002/9256d4ef47bf466b9d44b78ee60a3278.pdf,8-1-2 发行人及保荐机构关于第二轮审核问询函的回复意见（2019年年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202002/84085f9406dc4f5a8e4497e9eff8180c.pdf,8-1-1 发行人及保荐机构关于审核问询函的回复（2019年年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/201911/ec4d391fe4c9404793e601cf67ab36bd.pdf,8-1 发行人及保荐机构关于审核中心意见落实函的回复,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202001/130b209f45674e36bd1e9ec6f1830889.pdf,8-4-4 发行人及保荐机构关于第二轮问询函回复的修订说明,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/201911/3a93727f1b5948c2b0107352ddb32124.pdf,8-1 发行人及保荐机构关于威胜信息技术股份有限公司首次公开发行股票并在科创板上市申请文件的上市委问询问题的回复（2019年半年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/695b3434d78c41e6adff99313e6826dc.pdf,8-1-9 上市委审议意见落实函的回复,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202003/b12a3ae3212b4c2c934eadcb7b7d72c8.pdf,8-1-1 关于天合光能股份有限公司首次公开发行股票并在科创板上市的科创板上市委审议意见落实函之回复报告,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202003/3c834cc6937340c29c3a876767c7d13b.pdf,8-3-2 补充法律意见书（二）（2019年年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/821189446f024170863917ea00e2ba0b.pdf,8-1 关于苏州工业园区凌志软件股份有限公司首次公开发行股票并在科创板上市申请文件的审核中心意见落实函的回复（2019年年报财务数据更新稿）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202002/c9e94b986a944248a4a76ae5917c1c92.pdf,8-1-3 发行人及保荐机构关于第三轮审核问询函的回复（2019年度财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202001/1a9b3aed1e7d484297e54e05d39ab987.pdf,8-1 发行人及保荐机构回复意见,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202001/c0f91d9f7060412a96fc5fb0dfed1714.pdf,8-1 发行人及保荐机构关于审核中心意见落实函的回复,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202002/78ced9f7b74643a4bc589827c8fdd98f.pdf,8-1-2关于湖南南新制药股份有限公司首次公开发行股票并在科创板上市申请文件的第二轮审核问询函的回复（2019年年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/201911/544dc746284148c4a856080a4c4d8669.pdf,8-1-1 发行人及保荐机构回复意见（第三轮审核问询函更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/201911/6055a6a3ead241aa9111dcf1c9fba896.pdf,8-4-4-1 律师事务所关于开普云信息科技股份有限公司首次公开发行股票并在科创板上市第一轮审核问询函回复的修改说明,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/aeb2669d201a45fd8833fe7588ecd5cd.pdf,8-1 发行人及保荐机构关于上市委意见落实函的回复,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202004/cc5c6500e23344faac95feae4ed4ac7f.pdf,8-1-3 发行人及保荐机构关于审核中心意见落实函的回复（2019年年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202003/f6769a7ec3fb4bc2a6e82b78a5c44c36.pdf,8-1 发行人及保荐机构关于苏州金宏气体股份有限公司首次公开发行股票并在科创板上市申请文件的第一轮审核问询函的回复（2019年年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202002/30ff24f72008462e95f36752301b6464.pdf,8-1-1发行人和保荐机构回复意见（2019年三季报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202001/1e90d5836a2248b08ebe1e615a8a58ff.pdf,8-3 律师补充法律意见书,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202001/48cad3dd5cf24c0ebdb19f88fab4ac50.pdf,8-1 发行人及保荐机构回复意见（二）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/201911/e57966996fe64efe8191f01b0d01cf51.pdf,8-1 发行人及保荐机构关于威胜信息技术股份有限公司首次公开发行股票并在科创板上市申请文件的审核中心意见落实函的回复（2019年半年报财务数据更新版）,上海证券交易所-科创板股票审核
http://static.sse.com.cn/stock/information/c/202003/197e7b8d8a854a38916c48cff15bf3cb.pdf,8-1 发行人及保荐机构关于审核中心意见落实函的回复,上海证券交易所-科创板股票审核
