2020-09-01 at 00:12:37 | SUCCESS | 消息内容:{'start_time': '1598863385', 'collection_name': 'sy_news_finance_chineseshipping_raw', 'spider_name': 'caijing_chineseshipping_zixun_all', 'end_time': '1598863400'}  消息处理总量:3条
2020-09-01 at 00:13:00 | SUCCESS | 消息内容:{'start_time': '1598863469', 'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'end_time': '1598863492'}  消息处理总量:8条
2020-09-01 at 00:14:23 | SUCCESS | 消息内容:{'start_time': '1598863478', 'collection_name': 'sy_news_finance_sipf_raw', 'spider_name': 'caijing_sipf_gnjj', 'end_time': '1598863534'}  消息处理总量:30条
2020-09-01 at 00:14:28 | SUCCESS | 消息内容:{'start_time': '1598863622', 'collection_name': 'sy_news_hangye_autohome_raw', 'spider_name': 'hangye_autohome_news', 'end_time': '1598863622'}  消息处理总量:1条
2020-09-01 at 00:14:40 | SUCCESS | 消息内容:{'start_time': '1598863615', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ganggu', 'end_time': '1598863617'}  消息处理总量:3条
2020-09-01 at 00:14:47 | SUCCESS | 消息内容:{'start_time': '1598863595', 'collection_name': 'sy_news_finance_sina_blog_raw', 'spider_name': 'caijing_sina_blog', 'end_time': '1598863595'}  消息处理总量:1条
2020-09-01 at 00:15:21 | SUCCESS | 消息内容:{'start_time': '1598863620', 'collection_name': 'sy_news_finance_leju_raw', 'spider_name': 'caijing_leju_lejucaijing_all', 'end_time': '1598863636'}  消息处理总量:10条
2020-09-01 at 00:15:24 | SUCCESS | 消息内容:{'start_time': '1598863728', 'collection_name': 'sy_news_finance_chinatimes_raw', 'spider_name': 'caijing_chinatimes_all', 'end_time': '1598863728'}  消息处理总量:0条
2020-09-01 at 00:15:32 | SUCCESS | 消息内容:{'start_time': '1598863796', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_czggng', 'end_time': '1598863796'}  消息处理总量:1条
2020-09-01 at 00:15:43 | SUCCESS | 消息内容:{'start_time': '1598863727', 'collection_name': 'sy_news_finance_guandian_raw', 'spider_name': 'caijing_guandian_news_all', 'end_time': '1598863730'}  消息处理总量:3条
2020-09-01 at 00:16:03 | SUCCESS | 消息内容:{'start_time': '1598863813', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1598863826'}  消息处理总量:11条
2020-09-01 at 00:16:06 | SUCCESS | 消息内容:{'start_time': '1598863895', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'end_time': '1598863898'}  消息处理总量:0条
2020-09-01 at 00:16:10 | SUCCESS | 消息内容:{'start_time': '1598863916', 'collection_name': 'sy_news_finance_ccidcom_raw', 'spider_name': 'caijing_ccidcom_all', 'end_time': '1598863916'}  消息处理总量:1条
2020-09-01 at 00:16:19 | SUCCESS | 消息内容:{'start_time': '1598863925', 'collection_name': 'sy_news_finance_huxiu_raw', 'spider_name': 'caijing_huxiu_zixun', 'end_time': '1598863928'}  消息处理总量:2条
2020-09-01 at 00:16:40 | SUCCESS | 消息内容:{'start_time': '1598863926', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1598863936'}  消息处理总量:7条
2020-09-01 at 00:16:42 | SUCCESS | 消息内容:{'start_time': '1598863985', 'collection_name': 'sy_news_finance_qianlong_raw', 'spider_name': 'caijing_qianlong_jingji', 'end_time': '1598863985'}  消息处理总量:1条
2020-09-01 at 00:16:50 | SUCCESS | 消息内容:{'start_time': '1598864025', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'end_time': '1598864027'}  消息处理总量:5条
2020-09-01 at 00:16:53 | SUCCESS | 消息内容:{'start_time': '1598864063', 'collection_name': 'sy_news_hangye_bmlink_raw', 'spider_name': 'hangye_bmlink_marketnews', 'end_time': '1598864063'}  消息处理总量:1条
2020-09-01 at 00:17:15 | SUCCESS | 消息内容:{'start_time': '1598864067', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_hk_all', 'end_time': '1598864075'}  消息处理总量:8条
2020-09-01 at 00:17:20 | SUCCESS | 消息内容:{'start_time': '1598864154', 'collection_name': 'sy_news_hangye_eefocus_raw', 'spider_name': 'hangye_eefocus_news', 'end_time': '1598864155'}  消息处理总量:2条
2020-09-01 at 00:17:46 | SUCCESS | 消息内容:{'start_time': '1598864088', 'collection_name': 'sy_news_finance_sipf_raw', 'spider_name': 'caijing_sipf_gnjj', 'end_time': '1598864148'}  消息处理总量:15条
2020-09-01 at 00:17:52 | SUCCESS | 消息内容:{'start_time': '1598864190', 'collection_name': 'sy_news_finance_iyiou_raw', 'spider_name': 'caijing_iyiou_kuaixun', 'end_time': '1598864190'}  消息处理总量:1条
2020-09-01 at 00:18:07 | SUCCESS | 消息内容:{'start_time': '1598864286', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_czggng', 'end_time': '1598864286'}  消息处理总量:2条
2020-09-01 at 00:18:24 | SUCCESS | 消息内容:{'start_time': '1598864339', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cgnjj', 'end_time': '1598864345'}  消息处理总量:6条
2020-09-01 at 00:18:29 | SUCCESS | 消息内容:{'start_time': '1598864337', 'collection_name': 'sy_news_finance_southmoney_raw', 'spider_name': 'caijing_southmoney_caijingyaowen', 'end_time': '1598864337'}  消息处理总量:1条
2020-09-01 at 00:18:33 | SUCCESS | 消息内容:{'start_time': '1598864362', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'end_time': '1598864362'}  消息处理总量:1条
2020-09-01 at 00:18:37 | SUCCESS | 消息内容:{'start_time': '1598864364', 'collection_name': 'sy_news_finance_cs_raw', 'spider_name': 'caijing_cs_kcb', 'end_time': '1598864365'}  消息处理总量:2条
2020-09-01 at 00:18:49 | SUCCESS | 消息内容:{'start_time': '1598864376', 'collection_name': 'sy_news_finance_bjnews_raw', 'spider_name': 'caijing_bjnews_finance', 'end_time': '1598864377'}  消息处理总量:3条
2020-09-01 at 00:18:54 | SUCCESS | 消息内容:{'start_time': '1598864384', 'collection_name': 'sy_news_finance_lieyunwang_raw', 'spider_name': 'caijing_lieyunwang_zixun', 'end_time': '1598864384'}  消息处理总量:1条
2020-09-01 at 00:18:57 | SUCCESS | 消息内容:{'start_time': '1598864435', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_xsb', 'end_time': '1598864441'}  消息处理总量:0条
2020-09-01 at 00:19:03 | SUCCESS | 消息内容:{'start_time': '1598864454', 'collection_name': 'sy_news_finance_dcement_raw', 'spider_name': 'caijing_dcement_zixun', 'end_time': '1598864460'}  消息处理总量:2条
2020-09-01 at 00:20:54 | SUCCESS | 消息内容:{'start_time': '1598864469', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1598864496'}  消息处理总量:47条
2020-09-01 at 00:20:59 | SUCCESS | 消息内容:{'start_time': '1598864584', 'collection_name': 'sy_news_finance_gucheng_raw', 'spider_name': 'caijing_gucheng_gundong', 'end_time': '1598864584'}  消息处理总量:2条
2020-09-01 at 00:21:03 | SUCCESS | 消息内容:{'start_time': '1598864566', 'collection_name': 'sy_news_finance_36kr_raw', 'spider_name': 'caijing_36kr_zixun', 'end_time': '1598864566'}  消息处理总量:1条
2020-09-01 at 00:21:12 | SUCCESS | 消息内容:{'start_time': '1598864595', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ganggu', 'end_time': '1598864598'}  消息处理总量:4条
2020-09-01 at 00:21:16 | SUCCESS | 消息内容:{'start_time': '1598864563', 'collection_name': 'sy_news_finance_smm_raw', 'spider_name': 'caijing_smm_yaowen', 'end_time': '1598864563'}  消息处理总量:1条
2020-09-01 at 00:21:28 | SUCCESS | 消息内容:{'start_time': '1598864457', 'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'end_time': '1598864616'}  消息处理总量:4条
2020-09-01 at 00:21:31 | SUCCESS | 消息内容:{'start_time': '1598864662', 'collection_name': 'sy_news_hangye_smm_raw', 'spider_name': 'hangye_smm_news', 'end_time': '1598864662'}  消息处理总量:1条
2020-09-01 at 00:21:54 | SUCCESS | 消息内容:{'start_time': '1598864643', 'collection_name': 'sy_news_finance_cnfol_raw', 'spider_name': 'caijing_cnfol_gegu', 'end_time': '1598864652'}  消息处理总量:16条
2020-09-01 at 00:22:03 | SUCCESS | 消息内容:{'start_time': '1598864821', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all', 'end_time': '1598864825'}  消息处理总量:3条
2020-09-01 at 00:22:09 | SUCCESS | 消息内容:{'start_time': '1598864865', 'collection_name': 'sy_news_finance_cnstock_raw', 'spider_name': 'caijing_cnstock_news_all', 'end_time': '1598864866'}  消息处理总量:2条
2020-09-01 at 00:22:22 | SUCCESS | 消息内容:{'start_time': '1598864923', 'collection_name': 'sy_news_finance_china_raw', 'spider_name': 'caijing_china_jrkj', 'end_time': '1598864923'}  消息处理总量:1条
2020-09-01 at 00:22:30 | SUCCESS | 消息内容:{'start_time': '1598864826', 'collection_name': 'sy_news_finance_guandian_raw', 'spider_name': 'caijing_guandian_news_all', 'end_time': '1598864826'}  消息处理总量:2条
2020-09-01 at 00:22:38 | SUCCESS | 消息内容:{'start_time': '1598864916', 'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'end_time': '1598864917'}  消息处理总量:2条
2020-09-01 at 00:22:45 | SUCCESS | 消息内容:{'start_time': '1598865005', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'end_time': '1598865006'}  消息处理总量:4条
2020-09-01 at 00:22:59 | SUCCESS | 消息内容:{'start_time': '1598865037', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_ssgs', 'end_time': '1598865042'}  消息处理总量:9条
2020-09-01 at 00:23:03 | SUCCESS | 消息内容:{'start_time': '1598865062', 'collection_name': 'sy_news_finance_guancha_raw', 'spider_name': 'caijing_guancha_shangshi', 'end_time': '1598865062'}  消息处理总量:1条
2020-09-01 at 00:23:10 | SUCCESS | 消息内容:{'start_time': '1598865085', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ganggu', 'end_time': '1598865086'}  消息处理总量:2条
2020-09-01 at 00:23:14 | SUCCESS | 消息内容:{'start_time': '1598865053', 'collection_name': 'sy_news_finance_smm_raw', 'spider_name': 'caijing_smm_yaowen', 'end_time': '1598865053'}  消息处理总量:1条
2020-09-01 at 00:23:20 | SUCCESS | 消息内容:{'start_time': '1598865136', 'collection_name': 'sy_news_finance_ccidcom_raw', 'spider_name': 'caijing_ccidcom_all', 'end_time': '1598865136'}  消息处理总量:1条
2020-09-01 at 00:23:24 | SUCCESS | 消息内容:{'start_time': '1598865172', 'collection_name': 'sy_news_finance_china_raw', 'spider_name': 'caijing_china_house', 'end_time': '1598865172'}  消息处理总量:1条
2020-09-01 at 00:23:30 | SUCCESS | 消息内容:{'start_time': '1598865183', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_hongguan', 'end_time': '1598865183'}  消息处理总量:2条
2020-09-01 at 00:23:34 | SUCCESS | 消息内容:{'start_time': '1598865164', 'collection_name': 'sy_news_finance_iyiou_raw', 'spider_name': 'caijing_iyiou_kuaixun', 'end_time': '1598865165'}  消息处理总量:2条
2020-09-01 at 00:23:39 | SUCCESS | 消息内容:{'start_time': '1598865187', 'collection_name': 'sy_news_finance_investorchina_raw', 'spider_name': 'caijing_investorchina_scgz', 'end_time': '1598865187'}  消息处理总量:1条
2020-09-01 at 00:23:47 | SUCCESS | 消息内容:{'start_time': '1598865096', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_jigou_all', 'end_time': '1598865096'}  消息处理总量:1条
2020-09-01 at 00:23:53 | SUCCESS | 消息内容:{'start_time': '1598865286', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_gncj', 'end_time': '1598865286'}  消息处理总量:1条
2020-09-01 at 00:24:03 | SUCCESS | 消息内容:{'start_time': '1598865224', 'collection_name': 'sy_news_finance_leju_raw', 'spider_name': 'caijing_leju_lejucaijing_all', 'end_time': '1598865288'}  消息处理总量:5条
